"Date","Price","Open","High","Low","Vol.","Change %"
"10/02/2024","543.5133","540.8682","551.8402","540.8682","","0.49%"
"10/01/2024","540.8681","532.8835","548.0260","525.7100","","1.50%"
"09/30/2024","532.8835","532.9315","537.7651","529.9046","","-0.01%"
"09/27/2024","532.9315","531.1877","534.5504","528.0943","","0.33%"
"09/26/2024","531.1876","536.8042","538.4567","527.4113","","-1.05%"
"09/25/2024","536.8041","541.1446","542.8798","535.0759","","-0.80%"
"09/24/2024","541.1445","534.3623","544.3440","534.2745","","1.27%"
"09/23/2024","534.3622","533.4099","539.5895","531.1177","","0.18%"
"09/20/2024","533.4098","533.9936","535.0649","530.2731","","-0.11%"
"09/19/2024","533.9936","528.5834","535.2834","524.6997","","1.02%"
"09/18/2024","528.5834","527.6405","530.2841","523.8635","","0.18%"
"09/17/2024","527.6405","523.5810","529.5915","521.7178","","0.78%"
"09/16/2024","523.5810","519.0965","525.9545","517.7951","","0.86%"
"09/13/2024","519.0965","518.6733","524.7105","518.6552","","0.02%"
"09/12/2024","518.9689","510.5928","521.9721","510.5317","","1.60%"
"09/11/2024","510.7959","504.0674","512.6170","503.6580","","1.30%"
"09/10/2024","504.2219","514.6163","516.5988","502.4482","","-2.06%"
"09/09/2024","514.8193","510.8790","515.9055","509.0862","","0.74%"
"09/06/2024","511.0595","520.1484","523.7284","509.7823","","-1.75%"
"09/05/2024","520.1484","520.2017","526.2589","518.9293","","-0.01%"
"09/04/2024","520.2017","524.7921","528.1308","519.7857","","-0.87%"
"09/03/2024","524.7921","536.7498","538.2409","523.3469","","-2.23%"
"08/30/2024","536.7498","544.0781","547.9328","536.6465","","-1.35%"
"08/29/2024","544.0781","538.1517","545.7154","535.7320","","1.10%"
"08/28/2024","538.1516","544.5392","545.6561","536.4875","","-1.17%"
"08/27/2024","544.5392","549.2997","549.8576","544.0546","","-0.87%"
"08/26/2024","549.2996","540.4569","550.4219","540.4569","","1.64%"
"08/23/2024","540.4569","532.1442","541.3527","532.0847","","1.56%"
"08/22/2024","532.1441","530.5090","534.0107","528.6523","","0.31%"
"08/21/2024","530.5089","534.3333","537.9208","528.8621","","-0.72%"
"08/20/2024","534.3333","536.7493","539.4921","532.2369","","-0.45%"
"08/19/2024","536.7492","540.0821","542.5983","535.9411","","-0.62%"
"08/16/2024","540.0821","546.5078","546.5078","536.6060","","-1.18%"
"08/15/2024","546.5077","541.8544","549.1281","541.8097","","0.86%"
"08/14/2024","541.8543","544.4078","547.4764","541.3557","","-0.47%"
"08/13/2024","544.4078","551.1241","551.1241","543.8725","","-1.34%"
"08/12/2024","551.8286","541.5207","552.0490","540.8643","","1.80%"
"08/09/2024","542.0765","538.8868","542.7979","538.2600","","0.50%"
"08/08/2024","539.4017","536.8743","540.4743","533.6385","","0.38%"
"08/07/2024","537.3698","530.3707","539.6236","527.5032","","1.25%"
"08/06/2024","530.7576","529.3467","535.6995","526.2161","","0.27%"
"08/05/2024","529.3467","533.0627","535.2953","521.8130","","-0.70%"
"08/02/2024","533.0627","544.3692","548.5780","531.4750","","-2.08%"
"08/01/2024","544.3691","551.4392","555.8704","544.3533","","-1.28%"
"07/31/2024","551.4392","539.1111","552.0625","539.1111","","2.29%"
"07/30/2024","539.1110","543.1358","543.2541","537.7592","","-0.74%"
"07/29/2024","543.1357","549.2813","551.7310","541.6910","","-1.12%"
"07/26/2024","549.2813","554.9921","557.1977","546.8427","","-1.03%"
"07/25/2024","554.9920","553.9178","555.3306","545.8670","","0.19%"
"07/24/2024","553.9178","551.4070","556.7957","551.3463","","0.46%"
"07/23/2024","551.4069","556.8945","558.4992","550.4514","","-0.99%"
"07/22/2024","556.8944","555.8492","558.6091","552.4794","","0.19%"
"07/19/2024","555.8492","566.7233","566.7233","555.7421","","-1.92%"
"07/18/2024","566.7233","568.4561","571.9981","563.8979","","-0.30%"
"07/17/2024","568.4560","564.2097","568.8070","562.9937","","0.75%"
"07/16/2024","564.2097","568.8104","568.9623","561.8766","","-0.81%"
"07/15/2024","568.8104","572.3893","572.7942","567.7011","","-0.63%"
"07/12/2024","572.3893","573.4378","576.0905","571.9600","","-0.34%"
"07/11/2024","574.3336","572.2272","576.3866","571.5014","","0.23%"
"07/10/2024","573.0157","573.0383","575.7672","569.8881","","-0.13%"
"07/09/2024","573.7793","579.1247","579.9335","573.6167","","-1.04%"
"07/08/2024","579.8331","586.3631","586.6794","579.1785","","-1.24%"
"07/05/2024","587.0953","588.7160","592.2092","586.9505","","-0.28%"
"07/03/2024","588.7160","584.4537","588.8179","584.1386","","0.73%"
"07/02/2024","584.4537","584.5505","589.1869","584.1879","","-0.02%"
"07/01/2024","584.5505","578.3854","584.9197","578.0246","","1.07%"
"06/28/2024","578.3853","580.4857","585.4469","577.2608","","-0.36%"
"06/27/2024","580.4856","577.6743","583.5407","576.4737","","0.49%"
"06/26/2024","577.6742","577.3727","580.4700","575.1907","","0.05%"
"06/25/2024","577.3726","582.2141","583.3667","576.7650","","-0.83%"
"06/24/2024","582.2141","579.0552","582.4562","576.2397","","0.55%"
"06/21/2024","579.0551","583.0180","583.9920","577.9095","","-0.68%"
"06/20/2024","583.0179","582.3325","585.8961","581.8253","","0.12%"
"06/18/2024","582.3325","577.3536","582.5131","574.2362","","0.86%"
"06/17/2024","577.3536","575.0868","578.0851","571.0203","","0.39%"
"06/14/2024","575.0868","577.0282","579.3266","573.6955","","-0.34%"
"06/13/2024","577.0281","576.2848","578.6573","573.0181","","0.10%"
"06/12/2024","576.4782","572.8719","579.6903","572.8719","","0.61%"
"06/11/2024","573.0036","571.5667","575.2025","569.5844","","0.23%"
"06/10/2024","571.7023","564.3906","572.5237","563.8577","","1.29%"
"06/07/2024","564.4197","569.0017","570.9450","563.3142","","-0.83%"
"06/06/2024","569.1241","560.0111","569.8496","560.0111","","1.63%"
"06/05/2024","560.0111","557.9039","560.6722","556.1048","","0.38%"
"06/04/2024","557.9038","563.8223","563.8223","555.7770","","-1.05%"
"06/03/2024","563.8223","573.2755","576.8475","562.5033","","-1.65%"
"05/31/2024","573.2754","578.3106","581.7249","571.4938","","-0.87%"
